App name,Concerned Class,Fix revision,Buggy revision,Buggy method,Buggy file,Bug report,Use in experiments?,Code Inspection (B),Lint (B),FindBugs (B),PMD (B),Infer (B),Relda2-flow (B),Relda2-inflow (B),Verifier (B),Elite (B),Code Inspection (F),Lint (F),FindBugs (F),PMD (F),Infer (F),Relda2-flow (F),Relda2-inflow (F),Verifier (F),Elite (F),App component lifecycle-related,Resource escape local context,Leak extent,,Repo Link,Java class path,fix version link,buggy version link,buggy_content,fix_content,Pipe (B),Pipe (F),b_answer,f_answer
Wordpress,android.database.Cursor,3f6227e2d4,4b1d15cb26,onLoaderReset(),StatsCursorFragment.java,,yes,yes,no,n/a,,no,n/a,n/a,,,no,no,n/a,,no,n/a,n/a,,,,yes,complete leak,,https://github.com/wordpress-mobile/WordPress-Android,src/org/wordpress/android/ui/stats/StatsCursorFragment.java,https://github.com/wordpress-mobile/WordPress-Android/commit/3f6227e2d4c80d9b758928ce4b3d7488ac982e62,https://github.com/wordpress-mobile/WordPress-Android/commit/4b1d15cb262890639c9a4ea41562ff83b5535da7,"    @Override
    public void onLoaderReset(Loader<Cursor> loader) {
        if (mAdapter != null)
            mAdapter.swapCursor(null);
        configureEmptyLabel();
        if (isTablet()) {
            reloadLinearLayout();
        }
    }
","    @Override
    public void onLoaderReset(Loader<Cursor> loader) {
        if (mAdapter != null)
            mAdapter.changeCursor(null);
        configureEmptyLabel();
        if (isTablet()) {
            reloadLinearLayout();
        }
    }
",no,no,"No
Leaky Resources:
None

The provided code snippet does not show any resource leaks. It seems to be managing its resources properly.","No
Leaky Resources:
None

The provided code snippet does not show any resource leaks. It seems to be managing resources properly."
Wordpress,android.database.Cursor,3f6227e2d4,4b1d15cb26,search(),ThemeSearchFragment.java,,yes,yes,no,n/a,,no,n/a,n/a,,,no,no,n/a,,no,n/a,n/a,,,,yes,complete leak,,https://github.com/wordpress-mobile/WordPress-Android,src/org/wordpress/android/ui/themes/ThemeSearchFragment.java,https://github.com/wordpress-mobile/WordPress-Android/commit/3f6227e2d4c80d9b758928ce4b3d7488ac982e62,https://github.com/wordpress-mobile/WordPress-Android/commit/4b1d15cb262890639c9a4ea41562ff83b5535da7,"public void search(String searchTerm) {
        mLastSearch = searchTerm;
        
        String blogId = getBlogId();
        Cursor cursor =  WordPress.wpDB.getThemes(blogId, searchTerm);
        if (mAdapter == null) {
            return;
        } else {   
            mAdapter.swapCursor(cursor);   
            mGridView.invalidateViews();
            
            if (cursor == null || cursor.getCount() == 0) {
                mNoResultText.setVisibility(View.VISIBLE);
            } else {
                mNoResultText.setVisibility(View.GONE);
            }
        }             
    }","public void search(String searchTerm) {
        mLastSearch = searchTerm;
        
        String blogId = getBlogId();
        Cursor cursor =  WordPress.wpDB.getThemes(blogId, searchTerm);
        if (mAdapter == null) {
            return;
        } else {   
            mAdapter.changeCursor(cursor);   
            mGridView.invalidateViews();
            
            if (cursor == null || cursor.getCount() == 0) {
                mNoResultText.setVisibility(View.VISIBLE);
            } else {
                mNoResultText.setVisibility(View.GONE);
            }
        }             
    }",no,no,"Yes
Leaky Resources:
Cursor","Yes
Leaky Resources:
Cursor"
Wordpress,android.database.Cursor,3f6227e2d4,4b1d15cb26,refresh(),ThemeTabFragment.java,,yes,yes,no,n/a,,no,n/a,n/a,,,no,no,n/a,,no,n/a,n/a,,,,yes,complete leak,,https://github.com/wordpress-mobile/WordPress-Android,src/org/wordpress/android/ui/themes/ThemeTabFragment.java,https://github.com/wordpress-mobile/WordPress-Android/commit/3f6227e2d4c80d9b758928ce4b3d7488ac982e62,https://github.com/wordpress-mobile/WordPress-Android/commit/4b1d15cb262890639c9a4ea41562ff83b5535da7,"    private void refresh() {
        Cursor cursor = fetchThemes(getThemeSortType());
        if (mAdapter == null) {
            mAdapter = new ThemeTabAdapter(getActivity(), cursor, false);
        }
        
        if (mNoResultText.isShown())
            mNoResultText.setVisibility(View.GONE);
        mAdapter.swapCursor(cursor);
    }
","    private void refresh() {
        Cursor cursor = fetchThemes(getThemeSortType());
        if (mAdapter == null) {
            mAdapter = new ThemeTabAdapter(getActivity(), cursor, false);
        }
        
        if (mNoResultText.isShown())
            mNoResultText.setVisibility(View.GONE);
        mAdapter.changeCursor(cursor);
    }
",no,no,"Yes
Leaky Resources:
Cursor","Yes
Leaky Resources:
Cursor"
ChatSecure,android.database.Cursor,62b3507412,f4d4acc464,getFileInfoFromURI(),SystemServices.java,,yes,yes,no,n/a,,yes,n/a,n/a,,,yes,no,n/a,,no,n/a,n/a,,,,no,leak on certain normal paths,,https://github.com/guardianproject/ChatSecureAndroid,src/info/guardianproject/util/SystemServices.java,https://github.com/guardianproject/ChatSecureAndroid/commit/62b35074122d818433e936745cb4761a6b6d08ea,https://github.com/guardianproject/ChatSecureAndroid/commit/f4d4acc464c22ccc52b6f9c7ca4e768d4675de61,"public static FileInfo getFileInfoFromURI(Context aContext, Uri uri) throws IllegalArgumentException {
        FileInfo info = new FileInfo();
        if (uri.getScheme() != null && uri.getScheme().equals(""file"")) {
            info.path = uri.getPath();
            return info;
        }
        
        if (uri.toString().startsWith(""content://org.openintents.filemanager/"")) {
            // Work around URI escaping brokenness
            info.path = uri.toString().replaceFirst(""content://org.openintents.filemanager"", """");
            return info;
        }
        
        Cursor cursor = aContext.getContentResolver().query(uri, null, null, null, null);
        
        if (cursor != null && cursor.getCount() > 0)
        {
            cursor.moveToFirst();
            
            //need to check columns for different types
            int dataIdx = cursor.getColumnIndex(MediaStore.Images.Media.DATA);
            if (dataIdx != -1) 
            {
                info.path = cursor.getString(dataIdx);
                info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.Images.Media.MIME_TYPE));
            
            }
            else
            {
                dataIdx = cursor.getColumnIndex(MediaStore.Video.Media.DATA);
            
                if (dataIdx != -1)
                {
                    info.path = cursor.getString(dataIdx);
                    info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.Video.Media.MIME_TYPE));
                }
                else
                {
                    dataIdx = cursor.getColumnIndex(MediaStore.Audio.Media.DATA);
            
                    if (dataIdx != -1)
                    {
                        info.path = cursor.getString(dataIdx);
                        info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.Audio.Media.MIME_TYPE));
                    }
                    else
                    {
                        dataIdx = cursor.getColumnIndex(MediaStore.MediaColumns.DATA);
                
                        if (dataIdx != -1)
                        {
                            info.path = cursor.getString(dataIdx);
                            info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.MediaColumns.MIME_TYPE));
                          
                        }
                    }
                }
                
                cursor.close();
            }
        }
        
        return info;
    }","public static FileInfo getFileInfoFromURI(Context aContext, Uri uri) throws IllegalArgumentException {
        FileInfo info = new FileInfo();
        if (uri.getScheme() != null && uri.getScheme().equals(""file"")) {
            info.path = uri.getPath();
            return info;
        }
        
        if (uri.toString().startsWith(""content://org.openintents.filemanager/"")) {
            // Work around URI escaping brokenness
            info.path = uri.toString().replaceFirst(""content://org.openintents.filemanager"", """");
            return info;
        }
        
        Cursor cursor = aContext.getContentResolver().query(uri, null, null, null, null);
        
        if (cursor != null && cursor.getCount() > 0)
        {
            cursor.moveToFirst();
            
            //need to check columns for different types
            int dataIdx = cursor.getColumnIndex(MediaStore.Images.Media.DATA);
            if (dataIdx != -1) 
            {
                info.path = cursor.getString(dataIdx);
                info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.Images.Media.MIME_TYPE));
            
            }
            else
            {
                dataIdx = cursor.getColumnIndex(MediaStore.Video.Media.DATA);
            
                if (dataIdx != -1)
                {
                    info.path = cursor.getString(dataIdx);
                    info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.Video.Media.MIME_TYPE));
                }
                else
                {
                    dataIdx = cursor.getColumnIndex(MediaStore.Audio.Media.DATA);
            
                    if (dataIdx != -1)
                    {
                        info.path = cursor.getString(dataIdx);
                        info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.Audio.Media.MIME_TYPE));
                    }
                    else
                    {
                        dataIdx = cursor.getColumnIndex(MediaStore.MediaColumns.DATA);
                
                        if (dataIdx != -1)
                        {
                            info.path = cursor.getString(dataIdx);
                            info.type = cursor.getString(cursor.getColumnIndexOrThrow(MediaStore.MediaColumns.MIME_TYPE));
                          
                        }
                    }
                }
                
               
            }
        }
        
        if (cursor != null)
            cursor.close();
        
        return info;
    }",no,no,"Yes
Leaky Resources:
Cursor","Yes
Leaky Resources:
Cursor"
ChatSecure,android.database.Cursor,158008c655,cbbbaf8e2f,bindChat(),ChatView.java,,yes,no,no,n/a,,no,n/a,n/a,,,no,no,n/a,,no,n/a,n/a,,,,yes,complete leak,,https://github.com/guardianproject/ChatSecureAndroid,src/info/guardianproject/otr/app/im/app/ChatView.java,https://github.com/guardianproject/ChatSecureAndroid/commit/158008c655034fbf0b20ca7b73a39f2a009e0826,https://github.com/guardianproject/ChatSecureAndroid/commit/cbbbaf8e2fc1ef641bb1c4ecc68f192733db5bf4,"public void bindChat(long chatId) {
        log(""bind "" + this + "" "" + chatId);
        mLastChatId = chatId;
        
        Uri contactUri = ContentUris.withAppendedId(Imps.Contacts.CONTENT_URI, chatId);
        mCursor = mActivity.getContentResolver().query(contactUri, CHAT_PROJECTION, null, null, null);
        
        if (mCursor == null)
            return;
        
        if (!mCursor.moveToFirst()) {
            if (Log.isLoggable(ImApp.LOG_TAG, Log.DEBUG)) {
                log(""Failed to query chat: "" + chatId);
            }
            mLastChatId = -1;
        } else {
        
            updateContactInfo();
            
            mCurrentChatSession = getChatSession();
            
            if (mCurrentChatSession == null)
                mCurrentChatSession = createChatSession();
            
            if (mCurrentChatSession != null) {
                isServiceUp = true;
                
            }
            
            updateChat();
        }

    }","public void bindChat(long chatId) {
        log(""bind "" + this + "" "" + chatId);
        mLastChatId = chatId;
        
        if (mCursor != null && !mCursor.isClosed())
            mCursor.close();
        
        Uri contactUri = ContentUris.withAppendedId(Imps.Contacts.CONTENT_URI, chatId);
        mCursor = mActivity.getContentResolver().query(contactUri, CHAT_PROJECTION, null, null, null);
        
        if (mCursor == null)
            return;
        
        if (!mCursor.moveToFirst()) {
            if (Log.isLoggable(ImApp.LOG_TAG, Log.DEBUG)) {
                log(""Failed to query chat: "" + chatId);
            }
            mLastChatId = -1;
        } else {
        
            updateContactInfo();
            
            mCurrentChatSession = getChatSession();
            
            if (mCurrentChatSession == null)
                mCurrentChatSession = createChatSession();
            
            if (mCurrentChatSession != null) {
                isServiceUp = true;
                
            }
            
            updateChat();
        }

    }",no,no,"Yes
Leaky Resources:
Cursor","No
Leaky Resources:
None

The provided code snippet does not appear to have any resource leaks. The cursor is properly closed before a new one is created, and there are no other resources such as streams or connections that are left open."
Transdroid,android.database.Cursor,dce15b89f2,f82ba6e12b,getAvailableSites() @line 72,SearchHelper.java,,yes,yes,no,n/a,,yes,n/a,n/a,,,yes,no,n/a,,no,n/a,n/a,,,,no,leak on certain normal paths,,https://github.com/erickok/transdroid,app/src/main/java/org/transdroid/core/app/search/SearchHelper.java,https://github.com/erickok/transdroid/commit/dce15b89f20f2a8765703764d29c5bfc675b85cf,https://github.com/erickok/transdroid/commit/f82ba6e12b0d47ddd70f10dc0a318933be602ce0,"public List<SearchSite> getAvailableSites() {

		// Try to access the TorrentSitesProvider of the Torrent Search app
		Uri uri = Uri.parse(""content://org.transdroid.search.torrentsitesprovider/sites"");
		ContentProviderClient test = context.getContentResolver().acquireContentProviderClient(uri);
		if (test == null) {
			// Torrent Search package is not yet installed
			return null;
		}

		// Query the available in-app torrent search sites
		Cursor cursor = context.getContentResolver().query(uri, null, null, null, null);
		if (cursor == null) {
			// The installed Torrent Search version is corrupt or incompatible
			return null;
		}
		if (cursor.moveToFirst()) {
			List<SearchSite> sites = new ArrayList<SearchSite>();
			do {
				// Read the cursor fields into the SearchSite object
				sites.add(new SearchSite(cursor.getInt(CURSOR_SITE_ID), cursor.getString(CURSOR_SITE_CODE), cursor
						.getString(CURSOR_SITE_NAME), cursor.getString(CURSOR_SITE_RSSURL),
						cursor.getColumnNames().length > 4 ? (cursor.getInt(CURSOR_SITE_ISPRIVATE) == 1 ? true : false)
								: false));
			} while (cursor.moveToNext());
			cursor.close();
			return sites;
		}

		return null;

	}","public List<SearchSite> getAvailableSites() {

		// Try to access the TorrentSitesProvider of the Torrent Search app
		Uri uri = Uri.parse(""content://org.transdroid.search.torrentsitesprovider/sites"");
		ContentProviderClient test = context.getContentResolver().acquireContentProviderClient(uri);
		if (test == null) {
			// Torrent Search package is not yet installed
			return null;
		}

		// Query the available in-app torrent search sites
		Cursor cursor = context.getContentResolver().query(uri, null, null, null, null);
		if (cursor == null) {
			// The installed Torrent Search version is corrupt or incompatible
			return null;
		}
		List<SearchSite> sites = new ArrayList<>();
		if (cursor.moveToFirst()) {
			do {
				// Read the cursor fields into the SearchSite object
				sites.add(new SearchSite(cursor.getInt(CURSOR_SITE_ID), cursor.getString(CURSOR_SITE_CODE), cursor
						.getString(CURSOR_SITE_NAME), cursor.getString(CURSOR_SITE_RSSURL),
						cursor.getColumnNames().length > 4 && cursor.getInt(CURSOR_SITE_ISPRIVATE) == 1));
			} while (cursor.moveToNext());
		}

		cursor.close();
		return sites;

	}",no,no,"Yes
Leaky Resources:
ContentProviderClient, Cursor","Yes
Leaky Resources:
ContentProviderClient, Cursor"
Transdroid,android.database.Cursor,dce15b89f2,f82ba6e12b,search() @line 118,SearchHelper.java,,yes,yes,no,n/a,,yes,n/a,n/a,,,yes,no,n/a,,no,n/a,n/a,,,,no,leak on certain normal paths,,https://github.com/erickok/transdroid,app/src/main/java/org/transdroid/core/app/search/SearchHelper.java,https://github.com/erickok/transdroid/commit/dce15b89f20f2a8765703764d29c5bfc675b85cf,https://github.com/erickok/transdroid/commit/f82ba6e12b0d47ddd70f10dc0a318933be602ce0,"public ArrayList<SearchResult> search(String query, SearchSite site, SearchSortOrder sortBy) {
  // Try to query the TorrentSearchProvider to search for torrents on the web
  Uri uri = Uri.parse(""content://org.transdroid.search.torrentsearchprovider/search/"" + query);
  Cursor cursor;
  if (site == null) {
   // If no explicit site was supplied, rely on the Torrent Search package's default
   cursor = context.getContentResolver().query(uri, null, null, null, sortBy.name());
  } else {
   cursor = context.getContentResolver().query(uri, null, ""SITE = ?"", new String[] { site.getKey() },
     sortBy.name());
  }
  if (cursor == null) {
   // The content provider could not load any content (for example when there is no connection)
   return null;
  }
  if (cursor.moveToFirst()) {
   ArrayList<SearchResult> results = new ArrayList<SearchResult>();
   do {
    // Read the cursor fields into the SearchResult object
    results.add(new SearchResult(cursor.getInt(CURSOR_SEARCH_ID), cursor.getString(CURSOR_SEARCH_NAME),
      cursor.getString(CURSOR_SEARCH_TORRENTURL), cursor.getString(CURSOR_SEARCH_DETAILSURL), cursor
        .getString(CURSOR_SEARCH_SIZE), cursor.getLong(CURSOR_SEARCH_ADDED), cursor
        .getString(CURSOR_SEARCH_SEEDERS), cursor.getString(CURSOR_SEARCH_LEECHERS)));
   } while (cursor.moveToNext());
   cursor.close();
   return results;
  }

  // Torrent Search package is not yet installed

  return null;

 }
","	public ArrayList<SearchResult> search(String query, SearchSite site, SearchSortOrder sortBy) {

		// Try to query the TorrentSearchProvider to search for torrents on the web
		Uri uri = Uri.parse(""content://org.transdroid.search.torrentsearchprovider/search/"" + query);
		Cursor cursor;
		if (site == null) {
			// If no explicit site was supplied, rely on the Torrent Search package's default
			cursor = context.getContentResolver().query(uri, null, null, null, sortBy.name());
		} else {
			cursor = context.getContentResolver().query(uri, null, ""SITE = ?"", new String[] { site.getKey() },
					sortBy.name());
		}
		if (cursor == null) {
			// The content provider could not load any content (for example when there is no connection)
			return null;
		}
		if (cursor.moveToFirst()) {
			ArrayList<SearchResult> results = new ArrayList<>();
			do {
				// Read the cursor fields into the SearchResult object
				results.add(new SearchResult(cursor.getInt(CURSOR_SEARCH_ID), cursor.getString(CURSOR_SEARCH_NAME),
						cursor.getString(CURSOR_SEARCH_TORRENTURL), cursor.getString(CURSOR_SEARCH_DETAILSURL), cursor
								.getString(CURSOR_SEARCH_SIZE), cursor.getLong(CURSOR_SEARCH_ADDED), cursor
								.getString(CURSOR_SEARCH_SEEDERS), cursor.getString(CURSOR_SEARCH_LEECHERS)));
			} while (cursor.moveToNext());
			cursor.close();
			return results;
		}

		// Torrent Search package is not yet installed
		cursor.close();
		return null;

	}
",no,no,"Yes
Leaky Resources:
Cursor","Yes
Leaky Resources:
Cursor"
CSipSimple,android.database.Cursor,31838a61d9,0a2a1f1d37,getPhoneNumbers() @line 123,ContactsUtils5.java,,yes,yes,no,n/a,,yes,n/a,n/a,,,yes,no,n/a,,no,n/a,n/a,,,,no,complete leak,,https://github.com/r3gis3r/CSipSimple,src/com/csipsimple/utils/contacts/ContactsUtils5.java,https://github.com/r3gis3r/CSipSimple/commit/31838a61d9b9ef98c611e7850bff369e42659719,https://github.com/r3gis3r/CSipSimple/commit/0a2a1f1d377cb7b34f09077097a90bdb083ebf3d,"public ArrayList<Phone> getPhoneNumbers(Context ctxt, String id) {
   ArrayList<Phone> phones = new ArrayList<Phone>();
   
   Cursor pCur = ctxt.getContentResolver().query(
     ContactsContract.CommonDataKinds.Phone.CONTENT_URI, 
     null, 
     ContactsContract.CommonDataKinds.Phone.CONTACT_ID +"" = ?"", 
     new String[]{id}, null);
   while (pCur.moveToNext()) {
    phones.add(new Phone(pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Phone.NUMBER)), 
      pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Phone.TYPE))
    ));
 
   } 
   pCur.close();
   // Add any custom IM named 'sip' and set its type to 'sip'
        pCur = ctxt.getContentResolver().query(
                ContactsContract.Data.CONTENT_URI, 
                null, 
                ContactsContract.Data.CONTACT_ID + "" = ? AND "" + ContactsContract.Data.MIMETYPE + "" = ?"",
                new String[]{id, ContactsContract.CommonDataKinds.Im.CONTENT_ITEM_TYPE}, null);
        while (pCur.moveToNext()) {
            // Could also use some other IM type but may be confusing. Are there phones with no 'custom' IM type?
            if (pCur.getInt(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Im.PROTOCOL)) == ContactsContract.CommonDataKinds.Im.PROTOCOL_CUSTOM) {
                if (pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Im.CUSTOM_PROTOCOL)).equalsIgnoreCase(""sip"")) {
                    phones.add(new Phone(pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Im.DATA)), ""sip""));
                }
            }
                
        } 
        pCur.close();
        
        // Add any SIP uri if android 9
        if(Compatibility.isCompatible(9)) {
          pCur = ctxt.getContentResolver().query(
                     ContactsContract.Data.CONTENT_URI, 
                     null, 
                     ContactsContract.Data.CONTACT_ID + "" = ? AND "" + ContactsContract.Data.MIMETYPE + "" = ?"",
                     new String[]{id, GINGER_SIP_TYPE}, null);
             while (pCur.moveToNext()) {
                 // Could also use some other IM type but may be confusing. Are there phones with no 'custom' IM type?
              phones.add(new Phone(pCur.getString(pCur.getColumnIndex(ContactsContract.Data.DATA1)), ""sip""));
             } 
        }

   return(phones);
  }","public ArrayList<Phone> getPhoneNumbers(Context ctxt, String id) {
 		ArrayList<Phone> phones = new ArrayList<Phone>();
 		
 		Cursor pCur = ctxt.getContentResolver().query(
 				ContactsContract.CommonDataKinds.Phone.CONTENT_URI, 
 				null, 
 				ContactsContract.CommonDataKinds.Phone.CONTACT_ID +"" = ?"", 
 				new String[]{id}, null);
 		while (pCur.moveToNext()) {
 			phones.add(new Phone(pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Phone.NUMBER)), 
 					pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Phone.TYPE))
 			));
 
 		} 
 		pCur.close();

 		// Add any custom IM named 'sip' and set its type to 'sip'
        pCur = ctxt.getContentResolver().query(
                ContactsContract.Data.CONTENT_URI, 
                null, 
                ContactsContract.Data.CONTACT_ID + "" = ? AND "" + ContactsContract.Data.MIMETYPE + "" = ?"",
                new String[]{id, ContactsContract.CommonDataKinds.Im.CONTENT_ITEM_TYPE}, null);
        while (pCur.moveToNext()) {
            // Could also use some other IM type but may be confusing. Are there phones with no 'custom' IM type?
            if (pCur.getInt(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Im.PROTOCOL)) == ContactsContract.CommonDataKinds.Im.PROTOCOL_CUSTOM) {
                if (pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Im.CUSTOM_PROTOCOL)).equalsIgnoreCase(""sip"")) {
                    phones.add(new Phone(pCur.getString(pCur.getColumnIndex(ContactsContract.CommonDataKinds.Im.DATA)), ""sip""));
                }
            }
                
        } 
        pCur.close();
        
        // Add any SIP uri if android 9
        if(Compatibility.isCompatible(9)) {
        	 pCur = ctxt.getContentResolver().query(
                     ContactsContract.Data.CONTENT_URI, 
                     null, 
                     ContactsContract.Data.CONTACT_ID + "" = ? AND "" + ContactsContract.Data.MIMETYPE + "" = ?"",
                     new String[]{id, GINGER_SIP_TYPE}, null);
             while (pCur.moveToNext()) {
                 // Could also use some other IM type but may be confusing. Are there phones with no 'custom' IM type?
            	 phones.add(new Phone(pCur.getString(pCur.getColumnIndex(ContactsContract.Data.DATA1)), ""sip""));
             }
             pCur.close();
        }

 		return(phones);
 	}",no,no,"No
Leaky Resources: None

The code snippet provided does not have any resource leaks. All the Cursor objects (pCur) used to query the database are properly closed after use.","No
Leaky Resources:
None

The code snippet provided does not have any resource leaks. All the Cursor objects (pCur) used to query the database are properly closed after use."
FBReaderJ,android.database.sqlite.SQLiteDatabase,7907a9a13b,39b312b0f2,onDestroy(),LibraryService.java,,yes,no,n/a,n/a,,n/a,n/a,n/a,,,no,n/a,n/a,,n/a,n/a,n/a,,,yes,yes,complete leak,,https://github.com/geometer/FBReaderJ,src/org/geometerplus/android/fbreader/libraryService/LibraryService.java,https://github.com/geometer/FBReaderJ/commit/7907a9a13bfe878787212693a0d44955043b3573,https://github.com/geometer/FBReaderJ/commit/39b312b0f2d9c45efafe059d910b31e253815f03,"	@Override
	public void onDestroy() {
		if (myLibrary != null) {
			myLibrary.deactivate();
			myLibrary = null;
		}
		super.onDestroy();
	}
","	@Override
	public void onDestroy() {
		if (myLibrary != null) {
			final LibraryImplementation l = myLibrary;
			myLibrary = null;
			l.deactivate();
			l.close();
		}
		super.onDestroy();
	}
",no,no,"No
Leaky Resources:
None","No
Leaky Resources:
None"
AnySoftKeyboard,android.database.sqlite.SQLiteDatabase,79c11f6eee,fa32c64565,closeAllResources(),AutoDictionary.java,,yes,no,n/a,n/a,,n/a,n/a,n/a,,,no,n/a,n/a,,n/a,n/a,n/a,,,,yes,complete leak,,https://github.com/AnySoftKeyboard/AnySoftKeyboard,src/com/anysoftkeyboard/dictionaries/AutoDictionary.java,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/79c11f6eee733b9123c825949fb61b4bad9a4075,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/fa32c64565ddfd7f236379baac35e09b4f381053,"	@Override
	protected void closeAllResources() {
	}
","	@Override
	protected void closeAllResources() {
		if (mOpenHelper != null)
			mOpenHelper.close();
	}
",no,no,"No
Leaky Resources:
None

The provided code snippet does not contain any resources to leak. It's an empty method named ""closeAllResources"".","No
Leaky Resources:
None"
SipDroid,android.hardware.Camera,10d05cb157,201646635a,releaseMediaRecorder(),VideoCamera.java,,yes,n/a,n/a,n/a,,n/a,no,no,,,n/a,n/a,n/a,,n/a,yes,no,,,,yes,leak on certain normal paths,,https://github.com/i-p-tel/sipdroid,src/org/sipdroid/sipua/ui/VideoCamera.java,https://github.com/i-p-tel/sipdroid/commit/10d05cb157708a2550d9ad487a6a21dbfa57904c,https://github.com/i-p-tel/sipdroid/commit/201646635a94757e357d20093dc30f8d59fe2fab,"    private void releaseMediaRecorder() {
        Log.v(TAG, ""Releasing media recorder."");
        if (mMediaRecorder != null) {
            mMediaRecorder.reset();
            mMediaRecorder.release();
            mMediaRecorder = null;
        }
    }
","private void releaseMediaRecorder() {
        Log.v(TAG, ""Releasing media recorder."");
        if (mMediaRecorder != null) {
            mMediaRecorder.reset();
            if (mCamera != null) {
	        	if (Integer.parseInt(Build.VERSION.SDK) >= 8)
	        		VideoCameraNew2.reconnect(mCamera);
	        	mCamera.release();
	        	mCamera = null;
            }
            mMediaRecorder.release();
            mMediaRecorder = null;
        }
    }",no,no,"No
Leaky Resources:
None","No
Leaky Resources:
None"
Ushahidi,android.location.LocationListener,337b48f5f2,9d0aa75b84,onPause() and onDestroy(),CheckinMap.java,Pull 11,yes,n/a,n/a,n/a,,n/a,yes,yes,,,n/a,n/a,n/a,,n/a,no,no,,,yes,yes,leak on certain normal paths,,https://github.com/ushahidi/Ushahidi_Android,src/com/ushahidi/android/app/checkin/CheckinMap.java,https://github.com/ushahidi/Ushahidi_Android/commit/337b48f5f2725f3e84796fab12947ffbec3c0357,https://github.com/ushahidi/Ushahidi_Android/commit/9d0aa75b84d74566727b91f5d7dcb85caff34d33,"
    public void onDestroy() {
        super.onDestroy();
        ((LocationManager)getSystemService(Context.LOCATION_SERVICE))
                .removeUpdates(new DeviceLocationListener());
    }","    public void onPause() {
        super.onPause();
        locListener.stop();
    }
    public void onDestroy() {
        super.onDestroy();
        locListener.stop();
    }",no,no,"No
Leaky Resources:
None","No
Leaky Resources:
None"
OsmDroid,android.location.LocationListener,e5c8c57cff,f6a2e34592,onPause() not overidden,SampleMapActivity.java,,yes,n/a,n/a,n/a,,n/a,yes,yes,,,n/a,n/a,n/a,,n/a,no,no,,,yes,yes,leak on certain normal paths,,https://github.com/osmdroid/osmdroid,OpenStreetMapViewer/src/org/osmdroid/samples/SampleMapActivity.java,https://github.com/osmdroid/osmdroid/commit/e5c8c57cff81cee25a9cc6882057b1731d57e69e,https://github.com/osmdroid/osmdroid/commit/f6a2e3459200bec0fca2c0c95ae9cfdbc900e429," @Override
 protected void onDestroy() {
  super.onDestroy();

  getLocationManager().removeUpdates(mLocationListener);

  if (this.mDoGPSRecordingAndContributing) {
   OSMUploader.uploadAsync(this.mRouteRecorder.getRecordedGeoPoints());
  }

 }","	@Override
	protected void onPause() {
		getLocationManager().removeUpdates(mLocationListener);

		if (this.mDoGPSRecordingAndContributing) {
			OSMUploader.uploadAsync(this.mRouteRecorder.getRecordedGeoPoints());
		}

		super.onResume();
	}
",no,no,"No
Leaky Resources:
None

The provided code snippet does not show any obvious resource leaks. It properly removes location updates on destruction and conditionally uploads recorded geopoints. However, without the full context of the code, it's impossible to definitively say there are no resource leaks. For example, if `getLocationManager()`, `mLocationListener`, `mDoGPSRecordingAndContributing`, `OSMUploader.uploadAsync()`, or `mRouteRecorder.getRecordedGeoPoints()` manage resources that aren't properly closed or released elsewhere in the code, there could be resource leaks.","No
Leaky Resources:
None"
IRCCloud,android.media.MediaPlayer,d7a441e3a6,a4f427982f,surfaceDestroyed(),ImageViewerActivity.java,,yes,n/a,n/a,n/a,,n/a,yes,yes,,,n/a,n/a,n/a,,n/a,yes,yes,,,yes,yes,leak on certain normal paths,,https://github.com/irccloud/android,src/com/irccloud/android/activity/ImageViewerActivity.java,https://github.com/irccloud/android/commit/d7a441e3a675cac30cffdfdfa94e5a6dd486b169,https://github.com/irccloud/android/commit/a4f427982f20ca7be08fddc7a0cfe975c3a89699,"                @Override
                public void surfaceDestroyed(SurfaceHolder surfaceHolder) {

                }
","                @Override
                public void surfaceDestroyed(SurfaceHolder surfaceHolder) {
                    if(player != null) {
                        player.stop();
                        player.release();
                        player = null;
                    }
                }
",no,no,"No
Leaky Resources:
None","No
Leaky Resources:
None"
